threshold,cloningTime,versionedTime,persistentTime,coloredTime
0.0,0,0,0,0
0.01,5,3,0,0
0.33999,62,67,57,0
0.66998,75,74,78,0
0.99997,89,85,89,4
1.32996,105,88,105,9
1.65995,112,110,113,12
1.98994,113,117,115,12
2.3199300000000003,114,124,116,12
2.64992,116,126,117,15
2.97991,118,126,121,16
3.3099,122,126,121,18
3.6398900000000003,124,128,126,30
3.96988,129,130,130,32
4.299869999999999,133,131,135,34
4.629860000000001,138,134,135,36
4.95985,140,134,137,38
5.28984,142,134,138,38
5.619829999999999,142,138,138,38
5.94982,144,144,138,38
6.27981,146,147,140,38
6.6098,147,149,141,38
6.9397899999999995,150,150,142,40
7.269780000000001,150,153,143,40
7.59977,150,154,144,41
7.92976,150,155,144,41
8.25975,153,158,144,41
8.589739999999999,154,159,144,41
8.91973,154,159,144,42
9.249720000000002,154,162,147,45
9.57971,155,162,147,45
9.9097,156,162,147,48
10.23969,156,163,147,48
10.56968,158,163,148,49
10.89967,162,163,150,50
11.229659999999999,162,164,152,50
11.55965,163,164,152,50
11.88964,164,164,152,51
12.21963,166,165,154,51
12.54962,166,165,155,51
12.87961,167,165,157,52
13.2096,170,165,157,52
13.53959,170,167,158,53
13.86958,170,168,159,53
14.19957,171,168,159,53
14.529560000000002,171,168,159,53
14.85955,171,169,159,53
15.189540000000001,171,169,159,53
15.51953,172,169,159,53
15.84952,172,169,159,53
16.17951,172,169,160,53
16.509500000000003,172,169,160,53
16.83949,172,169,160,53
17.16948,172,169,160,53
17.499470000000002,172,170,160,53
17.82946,172,170,160,53
18.159450000000003,172,170,160,53
18.489440000000005,172,170,160,53
18.81943,172,171,160,53
19.149420000000003,172,171,160,53
19.47941,172,171,160,56
19.809400000000004,172,171,160,56
20.139390000000002,172,171,160,58
20.46938,172,171,160,58
20.79937,172,171,160,58
21.129360000000002,172,171,162,59
21.459350000000004,172,171,162,59
21.789340000000003,172,171,162,59
22.119330000000005,172,171,162,59
22.44932,172,171,162,59
22.779310000000002,172,172,162,59
23.1093,172,172,162,59
23.439290000000003,172,172,162,59
23.769280000000002,172,173,163,59
24.09927,172,173,163,59
24.429260000000003,172,173,163,59
24.75925,172,173,163,59
25.089240000000004,172,173,163,59
25.419230000000002,172,173,163,59
25.74922,172,173,163,59
26.07921,172,173,163,59
26.409200000000002,172,173,163,59
26.739190000000004,172,173,163,59
27.069180000000003,172,173,163,59
27.399170000000005,172,173,163,59
27.72916,172,173,163,59
28.059150000000002,172,173,163,59
28.38914,172,173,163,59
28.719130000000003,172,173,163,59
29.049120000000006,172,173,163,59
29.37911,172,173,163,59
29.709100000000003,172,173,163,60
30.03909,172,173,163,60
30.369080000000004,172,173,163,62
30.699070000000003,172,173,163,62
31.02906,172,173,163,62
31.35905,172,173,163,62
31.689040000000002,172,173,163,63
32.01903,172,173,163,63
32.349019999999996,172,173,163,64
32.67901,172,173,163,64
33.009,172,173,163,65
33.338989999999995,172,173,163,66
33.66898,172,173,163,66
33.99897,172,173,163,67
