benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/isaplanner_goal56.smt2.th,124,270.09,7869510.0,12.5,124,297.36,9983332.0,0.0,134,12.99,140249.73,0.0,101,14.79,6679.23,0.0
benchmarks/isaplanner_goal57.smt2.th,124,298.07,657072.0,0.0,0,75.62,386417.0,523.0,124,299.05,687248.0,0.0,101,0.12,8527.57,0.0
benchmarks/isaplanner_goal58.smt2.th,134,107.6,25363922.66,0.0,124,298.15,4764288.0,0.0,134,144.23,1399885.33,0.0,124,298.47,601384.0,0.0
benchmarks/isaplanner_goal59.smt2.th,134,101.13,31193300.0,0.0,124,297.19,8384248.0,0.0,134,9.7,59833.16,0.0,101,10.47,10962.48,0.0
benchmarks/isaplanner_goal6.smt2.th,0,0.07,7823.93,21.0,0,0.07,5734.39,21.0,0,0.1,8023.86,21.0,101,2.03,6411.61,0.0
benchmarks/isaplanner_goal60.smt2.th,0,0.01,6655.85,21.0,0,0.02,5436.19,21.0,0,0.03,7026.18,21.0,101,0.41,6051.25,0.0
benchmarks/isaplanner_goal61.smt2.th,0,0.01,6653.3,21.0,0,0.02,5435.11,21.0,0,0.03,7031.84,21.0,101,0.41,6051.93,0.0
benchmarks/isaplanner_goal62.smt2.th,0,0.01,6651.64,21.0,0,0.02,5432.58,21.0,0,0.03,7029.81,21.0,101,0.4,6051.57,0.0
benchmarks/isaplanner_goal63.smt2.th,0,0.01,6291.69,19.0,0,0.01,5489.69,19.0,0,0.01,6579.98,19.0,101,0.77,5788.16,58.57
benchmarks/isaplanner_goal64.smt2.th,0,0.18,14121.65,77.0,0,0.14,6060.22,77.0,0,0.22,11834.97,77.0,101,16.02,6648.63,0.0
benchmarks/isaplanner_goal65.smt2.th,0,0.03,7288.26,27.35,0,0.04,5512.36,27.38,0,0.05,8081.34,27.63,101,2.1,6391.28,0.0
benchmarks/isaplanner_goal66.smt2.th,124,298.8,1081476.0,0.0,0,154.84,300566.0,399.0,134,160.73,353612.0,0.0,101,0.38,16471.92,0.0
benchmarks/isaplanner_goal67.smt2.th,0,0.2,13696.53,73.0,0,0.16,6444.72,73.0,0,0.24,12798.81,73.0,101,18.52,6790.11,0.0
benchmarks/isaplanner_goal68.smt2.th,0,0.09,9179.95,27.0,0,0.1,6646.37,27.0,0,0.14,9485.47,27.0,101,5.22,6392.07,0.0
benchmarks/isaplanner_goal69.smt2.th,0,0.28,16051.56,91.0,0,0.25,7002.09,91.0,0,0.32,14866.55,91.0,101,34.48,6820.0,0.0
benchmarks/isaplanner_goal7.smt2.th,0,0.07,7822.83,21.0,0,0.07,5743.4,21.0,0,0.1,8034.04,21.0,101,1.78,6419.63,0.0
benchmarks/isaplanner_goal70.smt2.th,124,298.0,1084848.0,0.0,0,154.48,300752.0,399.0,134,170.86,437376.0,0.0,101,0.37,16474.55,0.0
benchmarks/isaplanner_goal71.smt2.th,0,0.14,10154.97,55.0,0,0.09,5748.46,55.0,0,0.16,8782.32,55.0,101,5.19,6267.03,0.0
benchmarks/isaplanner_goal72.smt2.th,0,132.07,4000873.33,109.0,0,101.82,2548837.33,109.0,134,278.83,13587028.0,0.0,101,0.46,8491.1,0.0
benchmarks/isaplanner_goal73.smt2.th,0,114.02,3943748.0,109.0,0,102.22,2591830.66,109.0,124,290.78,13796052.0,0.0,101,0.46,8492.49,0.0
benchmarks/isaplanner_goal74.smt2.th,134,119.65,24410185.33,0.0,124,298.12,7723180.0,0.0,134,77.56,2367369.0,0.0,124,298.35,849104.0,0.0
benchmarks/isaplanner_goal75.smt2.th,0,0.79,10876.7,13.0,0,1.26,14318.08,13.0,0,0.88,17781.31,13.0,0,3.04,13661.03,45.0
benchmarks/isaplanner_goal76.smt2.th,134,112.08,23174012.0,0.0,124,298.07,8010712.0,0.0,134,59.03,2365228.8,0.0,124,298.5,848268.0,0.0
benchmarks/isaplanner_goal77.smt2.th,0,2.06,15706.7,25.0,0,2.8,26028.03,25.0,0,1.54,24042.22,25.0,101,0.05,5962.46,0.0
benchmarks/isaplanner_goal78.smt2.th,0,0.05,7298.7,25.0,0,0.06,5911.85,25.0,0,0.07,8770.15,25.0,101,10.31,6418.06,0.0
benchmarks/isaplanner_goal79.smt2.th,0,5.11,43168.94,167.91,0,3.15,13490.75,167.66,0,2.76,51411.5,167.9,101,33.48,7197.33,0.0
benchmarks/isaplanner_goal8.smt2.th,0,0.07,7824.22,21.0,0,0.07,5741.35,21.0,0,0.1,8038.24,21.0,101,2.22,6408.81,0.0
benchmarks/isaplanner_goal80.smt2.th,124,77.12,1430984.0,125.75,0,3.69,14564.15,167.95,0,4.82,54047.88,167.55,101,29.86,7302.0,0.0
benchmarks/isaplanner_goal81.smt2.th,0,0.06,7312.33,21.0,0,0.06,5513.21,21.0,0,0.09,7759.03,21.0,101,4.58,6139.93,0.0
benchmarks/isaplanner_goal82.smt2.th,134,112.23,23654914.66,0.0,124,298.03,4529128.0,0.0,134,56.96,2302986.0,0.0,124,298.98,799852.0,0.0
benchmarks/isaplanner_goal83.smt2.th,134,34.57,25862054.66,0.0,124,297.92,4598436.0,0.0,134,61.21,1493105.6,0.0,124,298.61,455712.0,0.0
benchmarks/isaplanner_goal84.smt2.th,134,110.79,27139821.33,0.0,124,294.86,15957196.0,0.0,134,64.78,1722367.2,0.0,124,299.25,568232.0,0.0
benchmarks/isaplanner_goal85.smt2.th,134,37.95,26022754.0,0.0,124,298.08,4869552.0,0.0,134,80.23,2601287.0,0.0,124,298.96,801496.0,0.0
