threshold,cloningMemory,versionedMemory,persistentMemory,coloredMemory
0.0,0,0,0,0
0.01,74,77,57,12
0.04519000000000001,144,131,110,40
0.08038000000000001,159,163,141,69
0.11557000000000002,163,165,155,70
0.15076000000000003,164,167,159,70
0.18595000000000003,165,167,161,70
0.22114000000000006,167,168,161,70
0.25633000000000006,171,172,162,70
0.29152000000000006,172,172,163,70
0.32671000000000006,172,172,163,70
0.36190000000000005,172,172,163,70
0.39709000000000005,172,173,163,70
0.4322800000000001,172,174,164,70
0.4674700000000001,172,174,164,70
0.5026600000000001,172,174,164,70
0.53785,172,174,164,70
0.5730400000000001,172,174,164,70
0.6082300000000002,172,174,164,70
0.6434200000000001,172,174,164,70
0.6786100000000002,172,175,164,70
0.7138000000000001,172,175,164,70
0.7489900000000002,172,175,164,70
0.7841800000000001,172,175,164,70
0.8193700000000002,172,175,164,70
0.8545600000000002,172,175,164,70
0.8897500000000002,172,175,164,70
0.9249400000000002,172,175,164,70
0.9601300000000001,172,175,164,70
0.9953200000000002,172,175,164,70
1.03051,172,175,164,70
1.0657,172,175,164,70
1.1008900000000001,172,176,164,70
1.1360800000000002,172,176,164,70
1.1712700000000003,172,176,164,70
1.2064600000000003,172,176,164,70
1.2416500000000001,172,176,164,70
1.2768400000000002,172,176,164,70
1.3120300000000003,172,177,164,70
1.3472200000000003,172,177,164,70
1.3824100000000001,172,179,164,70
1.4176000000000002,172,180,164,70
1.4527900000000002,172,180,164,70
1.4879800000000003,172,180,164,70
1.5231700000000004,172,180,164,70
1.5583600000000002,172,180,164,70
1.5935500000000002,172,180,164,70
1.6287400000000003,172,180,164,70
1.6639300000000004,172,180,164,70
1.6991200000000004,172,180,164,70
1.7343100000000002,172,180,164,70
1.7695000000000003,172,180,164,70
1.8046900000000003,172,181,164,70
1.8398800000000004,172,181,164,70
1.8750700000000002,172,181,164,70
1.9102600000000003,173,181,164,70
1.9454500000000003,173,182,164,70
1.9806400000000004,174,182,164,70
2.0158300000000002,174,182,164,70
2.05102,175,183,164,70
2.0862100000000003,175,184,164,70
2.1214,175,185,164,70
2.15659,175,185,164,70
2.19178,175,185,164,70
2.22697,176,185,164,70
2.26216,176,185,164,70
2.2973500000000002,176,185,164,70
2.3325400000000003,176,185,164,70
2.3677300000000003,177,186,164,70
2.4029200000000004,177,186,164,70
2.43811,177,186,164,70
2.4733,177,186,164,70
2.50849,178,189,164,70
2.54368,178,189,164,70
2.57887,179,189,164,70
2.6140600000000003,179,189,164,70
2.6492500000000003,180,189,164,70
2.6844400000000004,181,189,164,70
2.7196300000000004,181,189,164,70
2.75482,182,189,164,70
2.79001,182,189,164,70
2.8252,182,189,164,70
2.86039,182,189,164,70
2.8955800000000003,182,189,164,70
2.9307700000000003,182,189,164,70
2.9659600000000004,183,189,164,70
3.0011500000000004,183,189,164,70
3.0363400000000005,183,189,164,70
3.07153,183,189,164,70
3.10672,183,189,164,70
3.14191,183,189,164,70
3.1771000000000003,183,189,164,70
3.2122900000000003,183,189,164,70
3.2474800000000004,183,189,164,70
3.2826700000000004,184,189,164,70
3.3178600000000005,184,189,164,70
3.3530500000000005,184,189,164,70
3.3882400000000006,184,189,164,70
3.42343,184,189,164,70
3.4586200000000002,184,189,164,70
3.4938100000000003,184,189,164,70
3.5290000000000004,184,189,164,70
3.5641900000000004,184,189,164,70
3.5993800000000005,184,189,164,70
3.6345700000000005,184,189,164,70
3.6697600000000006,184,189,164,70
3.7049500000000006,185,189,164,70
3.7401400000000002,185,189,164,70
3.7753300000000003,185,189,164,70
3.8105200000000004,185,189,164,70
3.8457100000000004,185,189,164,70
3.8809000000000005,185,189,164,70
3.9160900000000005,185,189,164,70
3.9512800000000006,185,189,164,70
3.9864700000000006,185,189,164,70
4.021660000000001,185,189,164,70
4.05685,185,189,164,70
4.09204,185,189,164,70
4.12723,185,189,164,70
4.162420000000001,185,189,164,70
4.19761,185,189,164,70
4.2328,185,189,164,70
4.26799,185,189,164,70
4.30318,185,189,164,70
4.33837,185,189,164,70
4.37356,185,189,164,70
4.40875,185,189,164,70
4.4439400000000004,185,189,164,70
4.4791300000000005,185,189,164,70
4.5143200000000006,185,189,164,70
4.54951,185,189,164,70
4.584700000000001,185,189,164,70
4.61989,185,189,164,70
4.655080000000001,185,189,164,70
4.69027,185,189,164,70
4.725460000000001,185,189,164,70
4.76065,185,189,164,70
4.795840000000001,185,189,164,70
4.83103,185,189,164,70
4.86622,185,189,164,70
4.90141,185,189,164,70
4.9366,185,189,164,70
4.97179,185,189,164,70
5.00698,185,189,164,70
5.0421700000000005,185,189,164,70
5.0773600000000005,185,189,164,70
5.112550000000001,185,189,164,70
5.147740000000001,185,189,164,70
5.18293,185,189,164,70
5.218120000000001,185,189,164,70
5.25331,185,189,164,70
5.288500000000001,185,189,164,70
5.32369,185,189,164,70
5.358880000000001,185,189,164,70
5.39407,185,189,164,70
5.429260000000001,185,189,164,70
5.46445,185,189,164,70
5.49964,185,189,164,70
