benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/sg_clam_goal-sg33.smt2.th,124,179.10,1755372.00,0,0,73.71,659548.00,13.00,124,178.33,2113208.00,0,101,1.31,15448.00,0
benchmarks/hipspec_sg_nichomachus-goal9.smt2.th,134,43.96,3652820.00,0,134,44.86,3592968.00,0,134,86.05,3834740.00,0,124,178.89,1319216.00,0
benchmarks/leon_amortize-queue-goal2.smt2.th,134,72.17,4161316.00,0,134,46.09,4041496.00,0,134,22.60,294976.00,0,124,179.92,80760.00,0
benchmarks/clam_goal39.smt2.th,0,160.90,4619336.00,71.00,0,168.30,2251328.00,71.00,134,30.05,131828.00,0,101,21.76,13904.00,0
benchmarks/isaplanner_goal60.smt2.th,0,.11,11448.00,21.00,0,.11,9992.00,21.00,0,.12,11936.00,21.00,101,.61,10852.00,0
benchmarks/clam_goal43.smt2.th,0,78.03,4259644.00,35.00,0,111.75,1576872.00,35.00,134,10.32,79996.00,0,101,32.87,17760.00,0
benchmarks/sg_clam_goal-sg50.smt2.th,0,8.13,92084.00,177.00,0,6.73,36896.00,201.00,0,27.81,237692.00,233.00,101,4.20,13720.00,0
benchmarks/clam_goal44.smt2.th,0,106.78,2492008.00,27.00,0,135.27,1412012.00,27.00,134,14.89,122120.00,0,101,28.87,19476.00,0
benchmarks/hipspec_sg_nichomachus-goal7.smt2.th,134,6.95,3261376.00,0,134,6.20,3261956.00,0,134,16.99,3368028.00,0,124,176.77,3985928.00,0
benchmarks/leon_amortize-queue-goal9.smt2.th,124,177.35,2535952.00,0,124,178.17,2567640.00,0,134,126.91,3867112.00,0,124,177.42,2362600.00,0
benchmarks/isaplanner_goal52.smt2.th,0,18.77,44028.00,25.00,0,60.26,616624.00,25.00,0,2.42,23932.00,25.00,101,.21,10984.00,0
benchmarks/clam_goal42.smt2.th,0,87.22,4126252.00,35.00,0,110.68,1550700.00,35.00,139,10.93,80224.00,0,101,32.62,17636.00,0
benchmarks/isaplanner_goal73.smt2.th,124,177.36,3661800.00,0,124,177.76,2475452.00,0,124,176.28,3114116.00,0,101,1.37,13568.00,0
benchmarks/isaplanner_goal72.smt2.th,0,154.42,3951608.00,109.00,124,177.90,2434456.00,0,124,176.41,3103624.00,0,101,1.29,13408.00,0
benchmarks/isaplanner_goal30.smt2.th,124,177.75,3945516.00,0,124,177.95,2467776.00,0,124,176.46,3008472.00,0,101,.92,13448.00,0
benchmarks/isaplanner_goal61.smt2.th,0,.12,11408.00,21.00,0,.11,10276.00,21.00,0,.11,11940.00,21.00,101,.65,10904.00,0
benchmarks/isaplanner_goal57.smt2.th,124,179.24,506952.00,0,0,161.43,393292.00,523.00,124,179.04,366488.00,0,101,.31,13644.00,0
benchmarks/leon_amortize-queue-goal12.smt2.th,134,31.07,3636528.00,0,134,14.59,3457152.00,0,134,40.14,822688.00,0,124,177.59,2723056.00,0
benchmarks/clam_goal47.smt2.th,0,159.50,3945428.00,109.00,124,177.84,2470428.00,0,124,175.67,3254600.00,0,101,.98,13436.00,0
