benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/sg_clam_goal-sg29.smt2.th,0,9.51,61904.00,13.00,0,8.43,72592.00,13.00,0,9.20,96048.00,13.00,0,41.06,82144.00,45.00
benchmarks/clam_goal37.smt2.th,0,1.64,79808.00,13.00,0,13.22,236064.00,13.00,134,7.94,82208.00,0,101,1.04,16432.00,0
benchmarks/hipspec_rev-equiv-goal8.smt2.th,0,10.87,79040.00,1.00,0,9.16,91712.00,1.00,0,20.97,189120.00,1.00,0,9.59,77248.00,1.00
benchmarks/clam_goal36.smt2.th,0,5.89,219744.00,13.00,0,14.79,238944.00,13.00,134,7.43,80912.00,0,101,1.08,16480.00,0
benchmarks/isaplanner_goal27.smt2.th,0,12.20,238752.00,13.00,0,13.24,238416.00,13.00,134,5.88,71824.00,0,101,1.04,16704.00,0
benchmarks/isaplanner_goal28.smt2.th,0,6.82,245520.00,13.00,0,9.14,75168.00,13.00,134,7.60,81120.00,0,101,1.02,16288.00,0
benchmarks/hipspec_rev-equiv-goal3.smt2.th,0,10.26,93040.00,1.00,0,5.94,64368.00,1.00,0,8.94,111120.00,1.00,0,8.77,78064.00,1.00
benchmarks/hipspec_rev-equiv-goal7.smt2.th,0,10.68,78576.00,1.00,0,5.85,60880.00,1.00,0,10.44,113856.00,1.00,0,10.81,74896.00,1.00
benchmarks/hipspec_rev-equiv-goal2.smt2.th,0,8.01,73872.00,1.00,0,23.46,109984.00,1.00,0,6.77,93136.00,1.00,0,9.73,79392.00,1.00
benchmarks/isaplanner_goal51.smt2.th,0,.05,10448.00,21.00,0,.05,9360.00,21.00,0,.05,11728.00,21.00,101,3.56,10144.00,0
benchmarks/sg_clam_goal-sg35.smt2.th,0,13.95,90896.00,13.00,0,12.04,52480.00,13.00,0,12.23,148480.00,13.00,101,9.08,28704.00,0
benchmarks/hipspec_rev-equiv-goal1.smt2.th,0,10.63,78448.00,1.00,0,7.43,61936.00,1.00,0,10.61,111072.00,1.00,0,9.15,78768.00,1.00
benchmarks/isaplanner_goal79.smt2.th,0,6.62,46848.00,169.00,0,2.32,16848.00,169.00,0,3.59,62480.00,165.00,101,71.82,10800.00,0
benchmarks/sg_clam_goal-sg86.smt2.th,134,2.27,3185680.00,0,134,2.20,3184384.00,0,134,7.20,3336512.00,0,134,237.79,3414544.00,0
benchmarks/sg_clam_goal-sg84.smt2.th,134,2.35,3208048.00,0,134,2.34,3193264.00,0,134,7.10,3333408.00,0,134,237.25,3265520.00,0
benchmarks/isaplanner_goal50.smt2.th,134,17.66,3579568.00,0,0,22.53,401216.00,35.00,134,82.77,1421648.00,0,124,293.28,559744.00,0
benchmarks/sg_clam_goal-sg33.smt2.th,124,291.60,2804352.00,0,0,54.10,698688.00,13.00,124,290.01,2535328.00,0,101,1.06,15136.00,0
benchmarks/hipspec_sg_nichomachus-goal9.smt2.th,134,37.20,4010768.00,0,134,36.87,2819744.00,0,134,69.04,3972832.00,0,134,143.42,4646736.00,0
benchmarks/leon_amortize-queue-goal2.smt2.th,134,26.34,3039168.00,0,134,59.16,4231712.00,0,134,15.75,372848.00,0,124,293.16,86832.00,0
benchmarks/clam_goal39.smt2.th,0,167.30,3869200.00,71.00,0,49.64,1446368.00,67.00,134,20.22,155808.00,0,101,16.45,13056.00,0
benchmarks/isaplanner_goal60.smt2.th,0,.04,10336.00,21.00,0,.04,9136.00,21.00,0,.05,11488.00,21.00,101,.58,9648.00,0
benchmarks/clam_goal43.smt2.th,0,71.02,2850208.00,35.00,0,71.50,1461040.00,35.00,134,7.98,93856.00,0,101,31.16,17520.00,0
benchmarks/sg_clam_goal-sg50.smt2.th,0,10.69,102016.00,193.00,0,7.10,64016.00,205.00,0,23.60,242672.00,221.00,101,4.22,12928.00,0
benchmarks/clam_goal44.smt2.th,0,88.27,2067312.00,27.00,0,88.83,1377904.00,27.00,134,10.15,144736.00,0,101,27.93,20496.00,0
benchmarks/hipspec_sg_nichomachus-goal7.smt2.th,134,4.65,3272272.00,0,134,4.50,3267888.00,0,134,10.94,3421184.00,0,124,290.39,5056352.00,0
benchmarks/leon_amortize-queue-goal9.smt2.th,134,196.61,3502400.00,0,134,134.41,3306672.00,0,134,73.00,2453456.00,0,124,290.08,4229872.00,0
benchmarks/isaplanner_goal52.smt2.th,0,12.97,255008.00,25.00,0,3.50,26592.00,25.00,0,13.47,441440.00,25.00,101,.10,9696.00,0
benchmarks/clam_goal42.smt2.th,0,71.10,3428688.00,35.00,0,106.17,1435280.00,35.00,134,7.84,93984.00,0,101,31.24,17824.00,0
benchmarks/isaplanner_goal73.smt2.th,0,125.53,2606432.00,109.00,0,127.43,2459184.00,109.00,134,109.52,3703520.00,0,101,.72,12864.00,0
benchmarks/isaplanner_goal72.smt2.th,0,176.41,2669040.00,109.00,0,139.92,2033360.00,109.00,134,106.84,3321712.00,0,101,.70,12976.00,0
benchmarks/isaplanner_goal30.smt2.th,0,170.13,2753968.00,109.00,0,141.88,1880448.00,109.00,134,107.42,3647120.00,0,101,.66,12912.00,0
benchmarks/isaplanner_goal61.smt2.th,0,.04,10368.00,21.00,0,.05,9232.00,21.00,0,.05,11440.00,21.00,101,.58,9728.00,0
benchmarks/isaplanner_goal57.smt2.th,124,288.10,1136304.00,0,0,117.82,422656.00,523.00,124,292.04,894992.00,0,101,.15,12944.00,0
benchmarks/leon_amortize-queue-goal12.smt2.th,134,27.93,2490224.00,0,134,10.16,2611696.00,0,134,54.61,1082608.00,0,134,249.54,3220464.00,0
benchmarks/clam_goal47.smt2.th,0,182.21,2810352.00,109.00,0,124.33,2227312.00,109.00,134,112.33,4037216.00,0,101,.68,12960.00,0
benchmarks/clam_goal45.smt2.th,0,175.29,2151888.00,109.00,0,124.77,2168272.00,109.00,134,108.09,5182816.00,0,101,.66,12832.00,0
benchmarks/clam_goal69.smt2.th,0,198.50,3090832.00,109.00,0,126.12,2142576.00,109.00,134,113.89,4538368.00,0,101,.70,12928.00,0
benchmarks/clam_goal49.smt2.th,0,139.51,1998720.00,109.00,0,127.30,2600384.00,109.00,134,107.64,4890000.00,0,101,.65,12672.00,0
benchmarks/sg_clam_goal-sg49.smt2.th,0,166.84,2466272.00,109.00,0,129.96,2621040.00,109.00,134,103.07,4537152.00,0,101,.61,12880.00,0
benchmarks/clam_goal46.smt2.th,0,140.42,2322304.00,109.00,0,131.17,2605920.00,109.00,134,96.19,4274992.00,0,101,.57,12816.00,0
benchmarks/leon_amortize-queue-goal11.smt2.th,134,28.60,2572368.00,0,134,9.59,3690496.00,0,134,40.41,1078416.00,0,134,175.05,3319840.00,0
