benchmark,cloning_code,cloning_secs,cloning_gb,cloning_branches,versioned_code,versioned_secs,versioned_gb,versioned_branches,persistent_code,persistent_secs,persistent_gb,persistent_branches,colored_code,colored_secs,colored_gb,colored_branches
benchmarks/clam_goal34.smt2.th,0,0.19,0.0105438232421875,13.0,0,0.17,0.009368896484375,13.0,0,0.18,0.011138916015625,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal85.smt2.th,0,0.18,0.0106658935546875,13.0,0,0.18,0.00946044921875,13.0,0,0.18,0.0113525390625,13.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg24.smt2.th,0,1.11,0.0132904052734375,13.0,0,0.2,0.0102996826171875,13.0,0,0.19,0.0112762451171875,13.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal64.smt2.th,0,0.27,0.0184173583984375,77.0,0,0.22,0.010162353515625,77.0,0,0.32,0.0163726806640625,77.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal22.smt2.th,0,0.32,0.0194244384765625,115.0,0,0.24,0.0095367431640625,115.0,0,0.36,0.0161285400390625,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal23.smt2.th,0,0.34,0.0196075439453125,115.0,0,0.25,0.0095977783203125,115.0,0,0.34,0.0157318115234375,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal24.smt2.th,0,0.33,0.0196075439453125,115.0,0,0.25,0.0094757080078125,115.0,0,0.36,0.0155029296875,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal25.smt2.th,0,0.32,0.0196075439453125,115.0,0,0.24,0.0095367431640625,115.0,0,0.35,0.0154266357421875,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal31.smt2.th,0,0.32,0.019744873046875,115.0,0,0.25,0.0095977783203125,115.0,0,0.38,0.016265869140625,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal36.smt2.th,101,330.0,35.2,0.0,101,330.0,35.2,0.0,101,330.0,35.2,0.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal32.smt2.th,0,0.32,0.0196380615234375,115.0,0,0.23,0.0094757080078125,115.0,0,0.36,0.0157318115234375,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal33.smt2.th,0,0.33,0.0196990966796875,115.0,0,0.24,0.0095977783203125,115.0,0,0.34,0.0155029296875,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal34.smt2.th,0,0.34,0.0196075439453125,115.0,0,0.25,0.0096588134765625,115.0,0,0.36,0.0160369873046875,115.0,101,330.0,35.2,0.0
benchmarks/clam_goal13.smt2.th,0,0.26,0.011474609375,13.0,0,0.27,0.01123046875,13.0,0,0.28,0.013214111328125,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal26.smt2.th,0,0.25,0.0114593505859375,13.0,0,0.25,0.010894775390625,13.0,0,0.26,0.01336669921875,13.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal67.smt2.th,0,0.32,0.0171051025390625,73.0,0,0.26,0.0108184814453125,73.0,0,0.37,0.017486572265625,73.0,101,330.0,35.2,0.0
benchmarks/clam_goal61.smt2.th,0,0.21,0.011322021484375,13.0,0,0.3,0.01324462890625,13.0,0,0.27,0.0150299072265625,13.0,0,1.6,0.0125579833984375,45.0
benchmarks/clam_goal63.smt2.th,0,0.24,0.0117034912109375,13.0,0,0.33,0.013427734375,13.0,0,0.25,0.014312744140625,13.0,0,1.49,0.012481689453125,45.0
benchmarks/clam_goal72.smt2.th,0,0.24,0.0115966796875,13.0,0,0.32,0.01348876953125,13.0,0,0.24,0.0138702392578125,13.0,0,1.55,0.0126190185546875,45.0
benchmarks/sg_clam_goal-sg13.smt2.th,0,0.34,0.0120086669921875,13.0,0,0.33,0.01141357421875,13.0,0,0.34,0.0139923095703125,13.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg15.smt2.th,0,0.01,0.0088958740234375,13.0,0,0.02,0.008544921875,13.0,0,0.02,0.0092010498046875,13.0,0,1.05,0.0090484619140625,45.0
benchmarks/isaplanner_goal12.smt2.th,0,0.41,0.0142669677734375,67.0,0,0.35,0.0101776123046875,67.0,0,0.4,0.0210418701171875,67.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal69.smt2.th,0,0.43,0.0199737548828125,91.0,0,0.39,0.011749267578125,91.0,0,0.43,0.0192108154296875,91.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg9.smt2.th,0,4.17,0.031036376953125,67.0,0,0.36,0.0097198486328125,67.0,0,7.2,0.0734405517578125,67.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg26.smt2.th,0,0.41,0.011962890625,13.0,0,0.4,0.0113525390625,13.0,0,0.39,0.0146484375,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal35.smt2.th,0,0.48,0.0130615234375,13.0,0,0.47,0.0109100341796875,13.0,0,0.46,0.0156402587890625,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal86.smt2.th,0,0.5,0.0130767822265625,13.0,0,0.46,0.010833740234375,13.0,0,0.46,0.0156707763671875,13.0,101,330.0,35.2,0.0
